content,rating,author,time,votes,ip_location,movie
剧情基本靠抄，矛盾基本靠编，感情基本靠煽，演技基本靠瘫，身价几十亿的贾玲对下层阶级的状态充满了自以为是的臆想。从镜头到配乐到彩蛋，与其说是电影，不如说是一场彻彻底底的减肥综艺真人秀。台上都是主义，台下全是生意，喜欢的观众收获了感动，励志的贾玲收获了金钱，至于月入二千五的服务员们，至于生活在真正生活里而不是电影作秀里的诸多女性们，她们的困境与梦想，一场电影过后，谁真的在乎呢。,2,周期性麻痹,2024-02-11 12:23:34,1259,陕西,热辣滚烫
很多人说先不谈电影本身，电影不谈本身的话，谈什么？真够可笑的……,2,FFF,2024-02-18 15:04:59,680,河北,热辣滚烫
建议看原版，省钱省心省事。,1,豆友JFIEXMjKo8,2024-02-10 12:00:07,1436,浙江,热辣滚烫
除了贾玲真减了100斤令人惊叹，其他都挺无聊的,3,年少影追,2024-02-11 16:49:16,1335,福建,热辣滚烫
第一会抄，第二会炒。明年体重反弹了，再拍一部增肥的电影，文案通稿就说“解放女性身材焦虑”，就今年叫好的那波人，明年还卖它。,1,这瓜保熟吗,2024-02-17 10:16:43,694,黑龙江,热辣滚烫
这电影幕后纪录片要比电影本身更有观赏价值。一个女人的野望比一个废物的觉醒更有意思。比较日本拳击题材电影，运动除了是改变自己、迎接挑战、为了赢一次这种口号外，他们还发现运动其实是用来逃避、遗忘、不面对人生困境的一种选择，运动把人纳入机械化的轨道，你不必多想，每次付出总有盈余，总归不会辜负自己。运动是安全屋，用来藏的。至于每个人不敢面对的核心困境是何物，就是一个好电影的二番了。很多中国电影都属于一番电影，人物的轨迹都是被策划好的，一点嚼头都没有，当一个所谓的目的达成，这个人物也就可以去死了。,2,饿霸地煮,2024-02-10 16:51:25,610,上海,热辣滚烫
"我去，真没想到贾玲成假玲了，如假包换，真诚是真诚，但挺割裂“吓人”的。
（1月4日 210斤-11月24日 117斤）

没想到终于碰上了一次“货物对版”的院线电影，《热辣滚烫》宣发和电影几近一致了，不过也没想到这辈子减重也可以成为宣发卖点挣到钱。如此推断那张小斐增重至200斤岂不是也会票房大爆。

贾玲利用自己的社会形象作为影片卖点和视觉焦点，除了“为了赢一次”的核心命题，更是见证华语电影票房最高的女导演自己的“逆袭”“减重”之旅。

很好奇下片后贾玲和宣发会不会提“改编”《百元之恋》的事儿，为什么带引号呢……几乎60%都可以用翻拍来形容。小到人物设定，大到情节拐点，几乎一模一样。强烈建议影迷朋友们顺带一看《百元之恋》，在经典原作与本土改编的互文中看《热辣滚烫》会更有趣味。",3,茗政,2024-02-10 11:18:54,1285,陕西,热辣滚烫
"远远超出预期，国内男导演都该学学怎么把女角色拍成个人。结尾乐莹一个人往前跑时，我觉得超越了日版，不需要男人，不需要被别人爱，她爱自己，她很自由。
另，贾玲减肥100斤的噱头吸引了很多妈妈爸爸辈的人想看这部电影，我觉得特别好，好片子需要有效的商业营销。",5,双立人厨房,2024-02-13 23:19:23,748,山东,热辣滚烫
比起所谓的以减肥为噱头，看过就知道，“瘦”只是其中渺小如尘的微不足道的一小点，我们看到的是一个不知前路、不懂拒绝、没有自我、以他人的需求为自己的需求的女性勇于不再与伤害、利用自己的人纠缠，战胜从前浑浑噩噩的自己，找到自我、取悦自己的故事。最后的部分看得几欲流泪，被乐莹的毅力感动，更为贾玲的坚韧折服。我们或许都该重新检视一下自己的生活。全五星。,5,gbhffvhj_,2024-02-11 19:06:47,773,广东,热辣滚烫
你减肥不能找我们要钱啊…,2,Cup_,2024-02-18 18:19:44,603,河南,热辣滚烫
三流的影片，顶级的营销。笑点滥俗，泪点全无，通篇都是贾玲的自娱自乐自我陶醉自我感动。一人减肥，亿人买单，就把观众骗进影院这一点而言，这部影片是开创性的。,1,Isco,2024-02-14 02:20:50,846,徐州,热辣滚烫
改的都是什么啊 闺蜜劈腿男友 妹妹出轨生了个孩子 所以被赶回家 回来就要房子 男女主相遇 是看见男的随地大小便 然后不会关车灯  这时候不骂屎尿屁烂梗了？你要不要看看自己在改编点什么？还有雷佳音喝醉酒半推半就那一段 充斥着贾玲的容貌焦虑和身材焦虑 好像被睡了还占了便宜似的 过度乱煽情 以及贾玲小学生一样的导演技法 电影院里的两小时真的很折磨,2,叫我墩墩墩,2024-02-11 10:05:20,824,广西,热辣滚烫
其实完全可以做一部叫《贾玲减肥》的纪录片或者综艺，难为你们还买了日本的版权拍了部电影来敷衍观众。,2,萨茨堡的树枝,2024-02-23 02:06:21,360,湖北,热辣滚烫
失败的电影，成功的贾玲,3,Pepsilia,2024-02-16 11:23:21,973,江苏,热辣滚烫
把一个普通废柴想努力一次的故事，改成了一个（家里蹲十年但本质是个）大善人被身边几乎所有人插刀自杀失败开始打拳的故事。贾玲减肥很成功，练得也真的很好。但这些都是电影本身以外的东西，告诫自己，做内容最忌讳自我感动。,2,葛攀,2024-02-14 00:19:07,473,广东,热辣滚烫
本想看看这片为啥能让这么多男的破防，结果前半部分看得非常不适，各种庸俗性别刻板印象传统恶毒女配全都齐活了，开场就是闺蜜抢男友白烂桥段、姐妹撕破脸揭发出轨孩子非婚生、健身房一堆女性围着教练尖叫扭捏、表妹为事业设套恶意利用……熬到后半段打拳，突然好看起来（怪不得真·打拳健身的女性朋友都跟我说好）。毕竟减掉100斤挥拳飒起来一镜到底就是热血啊，虽然分镜太多照搬原版对看过的观众来说削弱了惊喜，但和现实交织在一起简直是大型励志纪录片（原版并没有减100斤这么抓马，不过练过的人看一眼动作就知道含金量），属于用生命创作了，花絮和结尾电影院已经亮灯但没有一个观众走掉，甚至感觉比正片好看，衬得电影前半段简直和赘婿小视频差不多（当初对我爱理不理现在你们高攀不起）。大过年的，让贾玲来当回龙傲天又有何不可呢，她值！,3,小波福娃,2024-02-12 23:25:50,442,上海,热辣滚烫
中国电影被这种只会靠剽窃敛财的九流导演占据市场，还有一众自我高潮的无脑跟班。一星都高。,1,忍耐和勇气,2024-03-18 08:07:25,321,河北,热辣滚烫
"如果这电影是男导演拍的，那评论区应该是这样:
“离不开屎尿屁、下三路那点事，国内男导演也就这水平了。”
“里面的女性除了出轨就是花痴？一看是男导演就都合理了。”
“男导演电影里的女性配角，不是出卖色相就是恶毒小三，充满了男凝。”
“女性能对一事无成摆个臭脸的男人说出“你挺man”果然全天下的男人都是普信男！”
“满屏幕的body shame，真的恶心啊，男权社会的女性难道只是供男性凝视的吗？”
“2024年了，还在拍酒后乱性这种恶心又俗套的剧情啊，男导演脑子里也就这点东西了。”
“把两个妹妹都塑造的那么恶毒，不愧是男导演，girls help girls.

一个有极其有热度的题材+勉强及格的作品+最顶级的营销=春节档票房冠军。
资本已经知道公式了，可能我们以后只能看到这种电影了。",3,没恋爱的犀牛,2024-02-16 02:09:06,455,黑龙江,热辣滚烫
前一个小时真的是太过烂俗了，作为经历过这一切的人，并没有太打动我，但是应该会有很多的胖姑娘因这部影片走入健身房/接触拳击运动吧？那就足够了，大部分人是没有勇气杀死曾经的自己的，在陷入“绝境”之后如果没有极强的外力支持（尤其是金钱），大多便就此沉沦了。观影过程中给拳协的学长、18年带我减肥的教练发消息，感谢他们。教练回复说：“被自己感动啦🤭？”，其实心情并没有太大的起伏，当时的一切已经成为人生的可贵回忆，我也迈步向前去了。但李玫瑾教授说的可真对，运动能使人获得对自己身体的掌握，继而一点点获得对生活乃至人生的掌控。,3,Vera,2024-02-10 13:00:29,641,福建,热辣滚烫
中国电影的耻辱之作已经诞生了，它让中国电影继续沉沦下去。,1,被绑在车座上的,2024-02-23 15:46:41,512,江西,热辣滚烫
世上还有什么，比“亲手解除自己的封印”更酷？可以拉黑朋友圈那种“给我1个亿我也能”的人，因为他们不仅减不了肥，不会有1个亿，也对成事的条件到底是什么缺乏清楚的认知。他们只有一个骄狂又虚弱的自我。天下的1个亿多了去，谁应该平白给你？贾玲的“亿”是她自己凭本事挣的，不是大风刮来，你这么厉害，干嘛不去也随手挣一个呢？我觉得，这片子不是讲减肥，不是讲什么“底层小人物逆袭”，不是成功学鸡汤，也算不得真正意义的“女性觉醒电影”，甚至，它可能并不是单纯讲“赢一次”。它讲的是，如果你总是聚焦于“关系”，你会总是失望，总是虚空，总是输；如果你专注于“事情”，你就能找到支点，找到力量，找到自己，找到尊重，找到1个亿……你也许依然会输，但你也一定能赢。贾玲，respect 。,5,匡轶歌,2024-02-25 19:56:26,179,河南,热辣滚烫
好矫情的故事，女主角，小康家庭，父母疼爱，名下有套继承姥姥的学区房，在家里躺十年甚至还能继续躺下去，这么胖还有男朋友，有闺蜜，故事中女主所有遭受的挫折在我看来好矫情啊，首先，这个故事就很无聊，在我看来无法成为励志健身打拳的理由。其次，女主全程有气无力的语气颓丧的脸，健身都没带来一点活力，运动可以促进多巴胺的分泌。 多巴胺的分泌可以减轻疼痛感、增强快乐感和幸福感，从而改善身体的整体状态和心理健康。但是女主角你健身，我只看到了身材上的变化，一点没有感受到你的活力和精神气，你对人物的理解就是这个样子？演的好无聊。你说你要打拳，但是训练全程都是跑步打沙袋等练习，我没看到你跟别人实战训练，在拳击场上什么都不懂的样子，你凭什么说想要赢？作为观众根本感受不到，看到一半我朋友就在吐槽故事太矫情！！！,2,向风迎盛夏,2024-02-15 20:44:10,401,浙江,热辣滚烫
我们应当习惯并且欣赏每一位强大的女性,5,MarkChristie,2024-02-11 00:59:30,1143,广西,热辣滚烫
贾导演打得一手好牌，电影卖座当然好，不卖座，减肥成功也好。,3,三楼的疯子,2024-02-10 11:18:06,728,河北,热辣滚烫
作为一名女性健身者，我由衷地钦佩贾玲，但作为一名观影者，我不喜欢这部电影。电影呈现的逆袭历程很燃很励志，却仍是老旧的性别印象和脱节的剧情逻辑。女主的减肥大计在现实生活中不可能实现，看到女主为了训练辞去工作甚至免费受训，我着实觉得这是明星为了把自己的减肥成果搬上大银幕才生搬硬套改编原作。什么是女性叙事？女性主义不是让弱者变成强者，而是创造出一个让弱者也能够得到尊重的社会。我并没有看见这部电影对于不公的体系与加诸于女性身体的暴力评判有任何的反省，整部电影最后仍然回归到“努力就能成功”的逻辑，归咎于个人而浮于人物置身的社会环境，观感上是明星编织的奋斗神话。诚然我看到了不同的有欲望的女性角色，但是她们仍然没有具体的角色弧光，恶得很单薄，全靠擦边笑话抖包袱。女性叙事应该真实而复杂，真善美，真永远最先。,3,雲逸,2024-02-20 22:15:29,222,湖南,热辣滚烫
变瘦是本片里最不重要的情节。,5,一直想,2024-02-13 00:02:52,502,内蒙古,热辣滚烫
【B-】完全是影后级的表演，与李焕英一样，因角色与演员的大量相合而具有强烈穿透银幕的力量，而得益于扎实的剧作（毕竟原作质量在那）和两位主演的外形气质，能让人强烈地相信电影真的是在讲述普通人的故事，普通人的痛苦，而非伪饰和刻奇。一首发自内心共情和表述的，献给“失败者”的赞歌，我想所有曾经卑微过，委屈过，觉得自己不配得到一些东西而不得不讨好和忍让的人，都能在电影里找到共鸣。它没有多高的艺术高度，只是一部还算不错的商业片，就连那些用心设计的长镜头也和乐莹一样笨拙而努力，但仍让我真实的在影院流泪了，电影四星，但贾玲值得五星。,5,掉线,2024-02-10 12:11:53,694,湖南,热辣滚烫
感觉就是个大型MV……靠营销骗票房的烂片。,2,往日之昔,2024-04-26 12:05:57,148,山西,热辣滚烫
能把这部片捧得这么高才是值得我们深思的。,2,5点20生,2024-02-16 13:13:00,413,北京,热辣滚烫
3.5，观感同《八角笼中》，剧作和审美其实跟佳作差着好几档，纯靠导演的认真扳回一城。几乎无力招架连篇累牍的厌女桥段和恶臭郭楠（我们当然知道导演试图反击这一切，但所有笑料都是建立在自我贬损的基础上），但第三幕忽然重现了李焕英式的绝杀，用真心，下死力。当过往所有的尊严散落一地，沉默的坚持换来的还是被无限痛击，《百元之恋》的身体性被再次唤醒，只有疼痛提醒我们还活着。贾玲足以让春节档其他男导演自惭形秽。,3,晚不安,2024-02-10 14:35:42,298,浙江,热辣滚烫
影片里的各种笑点应不暇接，尤其是乐莹那段在家里睡觉，用脚关电视和闭眼换姿势，完全就是我本人。,5,Crazy June,2024-02-10 11:28:52,1282,山西,热辣滚烫
难看死了 太落后了 都2024年了观念还不更新一下🥹还是以瘦为美的理念 女性刻板印象 宣传这么不正多价值观到底谁在买单…,1,回声,2024-02-10 11:52:23,1154,山东,热辣滚烫
此刻我们欢聚在这里，是为了庆祝一位优秀的女性导演，她再度战胜了自己，用真诚而振聋发聩的电影，在影坛上挥出最有生命力的一拳！,5,非典型文青,2024-02-25 22:19:58,249,北京,热辣滚烫
看完有点失望，理解大家被真诚打动，这个8分得有2分是给100斤的，但电影真的一般,3,王语祯,2024-02-14 17:00:33,305,北京,热辣滚烫
更多是属于贾玲自己的奇迹,无评分,桃桃林林,2024-03-07 18:24:34,103,北京,热辣滚烫
如果是男导演瘦了一百斤，男主演打拳击，那些目前破防的人肯定吹上天，说女导演为减肥拍了一部电影的，确实没认真看电影，光看到女导演这三个字都已经口吐白沫了………贾玲不仅超越了之前的自己，也超越了大多数男导演，支持女性导演更支持中国女性导演作品！,5,momo,2024-02-11 15:45:59,822,陕西,热辣滚烫
减肥确实厉害，但电影真的到不了3星，对女导演的支持也不应该通过打高分来体现,2,#AKIRA#,2024-02-23 02:58:59,257,云南,热辣滚烫
利用人心的善，就是最大的恶。上一部也是。,1,螭,2024-02-11 21:07:04,709,吉林,热辣滚烫
看完电影由衷的感叹一句：真好啊！李焕英你看到乐莹赢了一次了吗,5,stream,2024-02-10 11:42:46,1524,陕西,热辣滚烫
不如直接改名《贾玲减肥自嗨记》观众更能买单，直接结束在登场那里还有点留白空间，原版剧本抄得稀碎，本土化极其失败，资本家想象的底层老板姓生活就是——1800房租掏不起敢报300块一节的私教课、虾做糊了带锅一起扔、脱产一年学拳击，牛蛙牛蛙！人物的丧、颓废更不用说了，在家啃老十年还大白天出门边吃边逛，这不是颓废，这是悠闲，学拳击动机也全然没有《百圆之恋》铺垫的这么多，你只是为了减肥，不是为了“赢一次”，女观众也别在这抱不平了，你看看人在影片里给那些女性角色树立了什么样的形象，但话又说回来，这故事逻辑稀烂、靠情绪强行拔高主旨，铺天盖地的营销，去年我好像见过一次，也不知道要是跟《满江红》凑一块，谁的魔法更胜一筹,1,Nian糕,2024-03-03 11:08:44,297,广西,热辣滚烫
第一贾玲说话有气无力的听着难受，第二电影煽情片段过多，第三真的很像减肥纪录片,3,打不上花火,2024-02-13 21:44:12,322,四川,热辣滚烫
